Country,Year
NOR,1924
FIN,1924
AUT,1924
SUI,1924
USA,1924
GBR,1924
SWE,1924
CAN,1924
FRA,1928
GER,1936
BEL,1948
ITA,1948
URS,1956
EUA,1956
NED,1964
FRG,1968
GDR,1968
TCH,1968
JPN,1972
POL,1972
ESP,1972
LIE,1980
EUN,1992
KOR,1992
RUS,1994
KAZ,1994
UKR,1994
UZB,1994
CZE,1998
BUL,1998
CRO,2002
CHN,2002
AUS,2002
EST,2002
BLR,2010
SVK,2010
SLO,2014
LAT,2014
OAR,2018
HUN,2018
NOC,2018
